property_name,areaWithType,square_feet,transaction,status,floor,furnishing,price_per_sqft,num_floor,price_lakh,bhk
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1267.0,Resale,Ready to Move,2,Furnished,3946.0,4,50.0,2.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,1200.0,Resale,Freehold,3,Furnished,3333.0,10,40.0,2.0
2 BHK Apartment for Sale in Citylight Area Surat,Carpet Area,750.0,Resale,Ready to Move,7,Unfurnished,4111.0,10,37.0,2.0
1 BHK  House for Sale in Sayan Surat,Carpet Area,432.0,New Property,Ready to Move,0,Unfurnished,2315.0,1,10.0,1.0
3 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1600.0,Resale,Ready to Move,9,Unfurnished,1875.0,13,30.0,3.0
1 BHK Apartment for Sale in Palanpur Surat,Carpet Area,441.0,Resale,Ready to Move,3,Unfurnished,3509.0,5,23.5,1.0
2 BHK Apartment for Sale in Aarav Apartment Surat,Super Area,850.0,Resale,Ready to Move,3,Semi-Furnished,2941.0,4,25.0,2.0
1 BHK Apartment for Sale in Ram Pura Surat,Carpet Area,605.0,Resale,Ready to Move,2,Unfurnished,2686.0,5,16.3,1.0
2 BHK Apartment for Sale in Varachha Surat,Super Area,1300.0,Resale,Ready to Move,4,Furnished,3462.0,4,45.0,2.0
4 BHK Apartment for Sale in Bhatar Surat,Super Area,1370.0,Resale,Ready to Move,3,Unfurnished,3212.0,4,44.0,4.0
2 BHK Apartment for Sale in Nana Varachha Surat,Super Area,1193.0,Resale,Ready to Move,4,Semi-Furnished,3269.0,10,39.0,2.0
2 BHK Apartment for Sale in Lambe Hanuman Road Surat,Carpet Area,1000.0,Resale,Ready to Move,3,Furnished,3077.0,5,40.0,2.0
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,1000.0,Resale,Ready to Move,0,Unfurnished,1600.0,1,16.0,2.0
3 BHK  House for Sale in Kamrej Surat,Super Area,1100.0,Resale,Ready to Move,0,Unfurnished,2455.0,2,27.0,3.0
1 BHK Builder Floor for Sale in Olpad Surat,Super Area,756.0,Resale,Ready to Move,5,Unfurnished,1984.0,5,15.0,1.0
2 BHK Penthouse for Sale in L P Savani Surat,Carpet Area,1446.0,Resale,Ready to Move,4,Semi-Furnished,4006.0,4,39.9,2.0
2 BHK Apartment for Sale in Honey Park Surat,Carpet Area,950.0,Resale,Ready to Move,2,Semi-Furnished,3043.0,4,35.0,2.0
2 BHK Apartment for Sale in 503RIDDHI SIDDHI RESIDENCY Surat,Carpet Area,750.0,Resale,Ready to Move,5,Semi-Furnished,3333.0,6,35.0,2.0
2 BHK Apartment for Sale in vatika township Surat,Super Area,1025.0,Resale,Ready to Move,5,Furnished,4683.0,6,48.0,2.0
2 BHK Apartment for Sale in Rander Road Surat,Super Area,1100.0,Resale,Ready to Move,3,Unfurnished,3455.0,5,38.0,2.0
2 BHK Builder Floor for Sale in devdhgam Surat,Carpet Area,734.0,Resale,Ready to Move,2,Furnished,2749.0,5,28.5,2.0
1 BHK Apartment for Sale in pavitra residency Surat,Carpet Area,440.0,Resale,Ready to Move,4,Semi-Furnished,3420.0,5,25.0,1.0
"2 BHK Apartment for Sale in Mangal pushp apartment,  L P SAVANI CIRCLE adajan Surat",Super Area,750.0,Resale,Ready to Move,2,Semi-Furnished,3200.0,7,24.0,2.0
1 BHK Apartment for Sale in Udhna Surat,Super Area,550.0,Resale,Ready to Move,4,Semi-Furnished,2318.0,4,12.8,1.0
2 BHK Apartment for Sale in vraj vihar complex koli street adajan gam Surat,Carpet Area,800.0,Resale,Ready to Move,1,Semi-Furnished,2500.0,4,25.0,2.0
1 BHK Apartment for Sale in Adajan Surat,Super Area,722.0,Resale,Ready to Move,7,Unfurnished,2909.0,7,21.0,1.0
2 BHK  House for Sale in Velanja Surat,Carpet Area,720.0,New Property,Ready to Move,1,Unfurnished,4375.0,1,31.5,2.0
2 BHK Builder Floor for Sale in Jahangirabad Surat,Super Area,1100.0,Resale,Ready to Move,2,Semi-Furnished,3545.0,5,39.0,2.0
2 BHK  House for Sale in Dindoli Surat,Super Area,800.0,Resale,Ready to Move,0,Unfurnished,5750.0,1,46.0,2.0
1 BHK Builder Floor for Sale in Kim Surat,Super Area,750.0,Resale,Ready to Move,4,Semi-Furnished,800.0,4,6.0,1.0
2 BHK Builder Floor for Sale in Palanpur Surat,Super Area,1035.0,Resale,Ready to Move,2,Furnished,4251.0,5,44.0,2.0
2 BHK Apartment for Sale in Rustampura Surat,Carpet Area,945.0,Resale,Ready to Move,4,Unfurnished,2787.0,4,34.0,2.0
3 BHK  House for Sale in Navagam Surat,Carpet Area,1200.0,Resale,Ready to Move,0,Unfurnished,2160.0,3,27.0,3.0
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1200.0,Resale,Ready to Move,3,Unfurnished,2917.0,5,35.0,2.0
1 BHK Apartment for Sale in Amroli Surat,Super Area,660.0,Resale,Ready to Move,5,Unfurnished,3030.0,5,20.0,1.0
2 BHK Apartment for Sale in Amroli Surat,Carpet Area,580.0,Resale,Ready to Move,1,Furnished,2436.0,5,19.0,2.0
1 BHK Builder Floor for Sale in Bhestan Surat,Super Area,850.0,Resale,Ready to Move,1,Unfurnished,1000.0,4,8.5,1.0
2 BHK Builder Floor for Sale in Pasodara Surat,Super Area,861.0,Resale,Ready to Move,4,Unfurnished,1220.0,4,10.5,2.0
1 BHK  House for Sale in Velanja Surat,Super Area,440.0,Resale,Ready to Move,0,Unfurnished,2500.0,1,11.0,1.0
1 BHK Builder Floor for Sale in Amroli Surat,Super Area,775.0,Resale,Ready to Move,2,Semi-Furnished,2129.0,5,16.5,1.0
3 BHK Apartment for Sale in Gopi Pura Surat,Super Area,1050.0,Resale,Ready to Move,3,Unfurnished,2857.0,10,30.0,3.0
2 BHK Apartment for Sale in Katar Gam Surat,Super Area,925.0,Resale,Ready to Move,3,Unfurnished,2378.0,4,22.0,2.0
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1170.0,New Property,Ready to Move,4,Unfurnished,3248.0,4,38.0,2.0
3 BHK  House for Sale in Palsana Surat,Super Area,2000.0,Resale,Ready to Move,1,Unfurnished,1675.0,1,33.5,3.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1120.0,Resale,Ready to Move,5,Furnished,4018.0,13,45.0,2.0
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,970.0,Resale,Ready to Move,3,Semi-Furnished,3093.0,4,30.0,2.0
1 BHK Apartment for Sale in Minaxi Wadi Surat,Super Area,750.0,Resale,Ready to Move,0,Semi-Furnished,2933.0,3,22.0,1.0
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,650.0,New Property,Ready to Move,8,Unfurnished,3051.0,14,36.0,2.0
1 BHK Apartment for Sale in Surat,Super Area,750.0,Resale,Ready to Move,6,Unfurnished,2735.0,7,20.5,1.0
2 BHK Builder Floor for Sale in Rander Road Surat,Super Area,950.0,Resale,Ready to Move,1,Semi-Furnished,2947.0,5,28.0,2.0
"2 BHK Apartment for Sale in Kosad, Surat Surat",Super Area,1065.0,Resale,Ready to Move,2,Unfurnished,2347.0,6,25.0,2.0
2 BHK Builder Floor for Sale in Jolva Surat,Super Area,648.0,Resale,Ready to Move,0,Unfurnished,3086.0,1,20.0,2.0
2 BHK  House for Sale in Kim Surat,Super Area,480.0,Resale,Ready to Move,1,Unfurnished,2812.0,2,13.5,2.0
1 BHK Apartment for Sale in Surat City Surat,Carpet Area,410.0,Resale,Ready to Move,3,Furnished,2857.0,4,20.0,1.0
"2 BHK Apartment for Sale in Devghat, Surat Surat",Super Area,1225.0,Resale,Ready to Move,1,Unfurnished,2449.0,5,30.0,2.0
2 BHK Apartment for Sale in Vrundavan Residency Nr Avirbhav Society Surat,Super Area,862.0,Resale,Ready to Move,4,Semi-Furnished,3191.0,5,27.5,2.0
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,600.0,Resale,Ready to Move,0,Unfurnished,4500.0,1,27.0,2.0
2 BHK Apartment for Sale in Umra Surat,Super Area,1200.0,Resale,Ready to Move,2,Unfurnished,3917.0,7,47.0,2.0
2 BHK Apartment for Sale in Raj Sambhav Apparent Surat,Super Area,1400.0,Resale,Ready to Move,2,Furnished,3571.0,4,50.0,2.0
1 BHK Apartment for Sale in Pal Gam Surat,Super Area,700.0,Resale,Ready to Move,5,Unfurnished,2714.0,10,19.0,1.0
1 BHK Apartment for Sale in suman ashish Surat,Carpet Area,3.0,Resale,Ready to Move,2,Unfurnished,3429.0,7,12.0,1.0
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,650.0,Resale,Ready to Move,3,Unfurnished,2000.0,5,13.0,1.0
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1150.0,Resale,Ready to Move,4,Semi-Furnished,2174.0,5,25.0,2.0
2 BHK Apartment for Sale in Sonifaliya Surat,Super Area,850.0,Resale,Ready to Move,4,Semi-Furnished,2588.0,5,22.0,2.0
2 BHK Builder Floor for Sale in Sachin Surat,Super Area,900.0,Resale,Ready to Move,3,Semi-Furnished,1444.0,5,13.0,2.0
2 BHK Apartment for Sale in Udhna Surat,Super Area,910.0,Resale,Ready to Move,3,Furnished,2747.0,4,25.0,2.0
2 BHK Apartment for Sale in Pandesara Surat,Super Area,800.0,Resale,Ready to Move,3,Unfurnished,3250.0,5,26.0,2.0
1 BHK Builder Floor for Sale in Kadodar Surat,Super Area,490.0,Resale,Ready to Move,4,Unfurnished,1735.0,4,8.5,1.0
1 BHK Builder Floor for Sale in Kamrej Surat,Super Area,400.0,Resale,Ready to Move,4,Semi-Furnished,2500.0,5,10.0,1.0
2 BHK Apartment for Sale in Palanpur Gam Surat,Super Area,1200.0,Resale,Ready to Move,4,Unfurnished,3750.0,8,45.0,2.0
"2 BHK Apartment for Sale in pragati nagar, Piplod Surat",Super Area,1040.0,Resale,Ready to Move,1,Semi-Furnished,3846.0,7,40.0,2.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,1150.0,Resale,Ready to Move,2,Unfurnished,3896.0,3,44.8,2.0
"2 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",Carpet Area,660.0,Resale,Ready to Move,4,Furnished,3932.0,5,46.0,2.0
3 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,1400.0,Resale,Ready to Move,0,Semi-Furnished,1786.0,2,25.0,3.0
3 BHK  House for Sale in Ganeshpura Surat,Super Area,1296.0,Resale,Ready to Move,0,Semi-Furnished,3086.0,3,40.0,3.0
2 BHK Apartment for Sale in Varachha Surat,Super Area,990.0,Resale,Ready to Move,1,Unfurnished,3838.0,6,38.0,2.0
2 BHK Apartment for Sale in Surat,Super Area,1161.0,Resale,Ready to Move,1,Semi-Furnished,4005.0,1,46.5,2.0
1 BHK Apartment for Sale in Dindoli Surat,Super Area,801.0,Resale,Ready to Move,9,Unfurnished,1998.0,11,16.0,1.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1092.0,New Property,Possession,14,Unfurnished,3200.0,14,34.9,2.0
2 BHK Apartment for Sale in Pal Gam Surat,Carpet Area,1000.0,Resale,Ready to Move,3,Unfurnished,3529.0,5,45.0,2.0
"2 BHK Apartment for Sale in Govindji Park, Umra Surat",Super Area,1200.0,Resale,Ready to Move,4,Unfurnished,3750.0,7,45.0,2.0
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252.0,Resale,Ready to Move,5,Unfurnished,3594.0,14,45.0,2.0
2 BHK Builder Floor for Sale in Gopi Pura Surat,Super Area,1000.0,Resale,Ready to Move,3,Furnished,2500.0,5,25.0,2.0
1 BHK  House for Sale in Dindoli Surat,Super Area,504.0,Resale,Ready to Move,0,Unfurnished,3968.0,1,20.0,1.0
1 BHK Builder Floor for Sale in Punagam Surat,Super Area,625.0,Resale,Ready to Move,3,Semi-Furnished,2642.0,4,16.5,1.0
2 BHK Apartment for Sale in Piplod Surat,Carpet Area,800.0,Resale,Ready to Move,5,Furnished,4167.0,7,50.0,2.0
